ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
410	CASTELLANOS		A	A	*	18	11	6,64	5,5	5,91	5,5	8	0
353	AUDERO	cremonese	P	P		15	15	5,4	5,4	6,43	6,5	-15,5	-5,5
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		22	18	5,81	5,8	6,33	6,3	-9,5	1,5
69	CAPRILE	cagliari	P	P		16	19	4,97	4,9	6,42	6,5	-27,5	-8
1	CARNESECCHI	atalanta	P	P		21	19	5,53	6	6,37	6,4	-16	-2
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA	verona	P	P		1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		7	7	5,21	5,4	6,29	6,3	-7,5	-4,5
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		17	19	4,92	5,1	6,29	6,3	-26	-6
458	DEVIS VASQUEZ	roma	P	P		1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		20	17	5,41	5,9	6,26	6,3	-14,5	-2
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		18	18	5,31	5,3	6,42	6,4	-20	-3,5
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA	parma	P	P		1							
1676	ISRAEL	torino	P	P		7	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		14	18	4,67	4,38	6,22	6	-28	-7,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		22	17	5,88	5	6,41	6,2	-9	-3,5
418	MANDAS	lazio	P	P		1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		2	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		9	4	5,13		6,13	-1	-4	-4
1091	MILINKOVIC SAVIC	napoli	P	P		21	14	5,96	5,4	6,32	6,2	-5	-3
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		12	18	4,53	4	6,03	6	-27	-9
286	MORETTA		P	P	*	1							
4144	MURIC	sassuolo	P	P		14	18	5,06	4,9	6,42	6,5	-24,5	-8
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1							
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		13	11	4,91	5,17	6	5,83	-12	-4
654	PADELLI	udinese	P	P		2	2	5,25	5,25	6,25	6,25	-2	-2
1083	PALEARI	torino	P	P		9	10	5	5,4	6,25	6,3	-12,5	-4,5
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1							
209	PERIN	juventus	P	P		2	2	5,25		6,25	-1	-2	-2
4261	PESSINA	bologna	P	P		1	1	6,5		6,5	-1	0	0
655	PIANA		P	P	*	1							
210	PINSOGLIO	juventus	P	P		1							
535	POPA	torino	P	P		1							
419	PROVEDEL	lazio	P	P		21	19	5,61	5,3	6,45	6,3	-16	-5
753	RADUNOVIC		P	P	*	1							
167	RAIMONDI		P	P	*	1							
32	RAVAGLIA	bologna	P	P		7	8	4,88	4,8	6,31	6,5	-11,5	-7,5
420	RENZETTI		P	P	*	1							
1081	RINALDI	parma	P	P		1							
2	ROSSI	atalanta	P	P		1							
605	RUSSO		P	P	*	1							
424	SAMOOJA	lecce	P	P		1							
487	SARO		P	P	*	1							
