ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		11	10	5,4	4,8	6,4	6,2	-10	-7
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		19	14	5,5	5,5	6,29	6,5	-11	-5
69	CAPRILE	cagliari	P	P		16	14	5	4,8	6,39	6,2	-19,5	-7
1	CARNESECCHI	atalanta	P	P		18	14	5,36	3,9	6,36	5,9	-14	-10
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA	verona	P	P		1							
104	CHRISTENSEN		P	P	*	1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		3	3	5,33	5,33	6,33	6,33	-3	-3
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		16	14	4,86	5	6,29	6,2	-20	-6
458	DEVIS VASQUEZ	roma	P	P		1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		18	12	5,21	5,25	6,25	6,25	-12,5	-5,5
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		17	14	5,21	6,2	6,39	6,6	-16,5	-2
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA	parma	P	P		1							
1676	ISRAEL	torino	P	P		9	9	4,11	3,5	6,17	6	-18,5	-10,5
139	LEALI	genoa	P	P		14	14	4,75	4,9	6,29	6,5	-21,5	-8
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		22	13	6,04	7,2	6,46	6,9	-5,5	1,5
418	MANDAS	lazio	P	P		1							
285	MARCONE		P	P	*	1							
106	MARTINELLI	fiorentina	P	P		1							
166	MARTINEZ JO.	inter	P	P		3	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		13	4	5,13		6,13	-1	-4	-4
1091	MILINKOVIC SAVIC	napoli	P	P		20	10	6,2	6,2	6,4	6,4	-2	-1
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		14	14	4,79	4,8	6,07	6,2	-18	-7
286	MORETTA		P	P	*	1							
4144	MURIC	sassuolo	P	P		13	13	5,12	4,5	6,38	6,1	-16,5	-8
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1							
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		11	8	4,81	5,2	6,06	6	-10	-4
654	PADELLI	udinese	P	P		1							
1083	PALEARI	torino	P	P		4	5	4,6	3,67	6,2	6	-8	-8
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1							
209	PERIN	juventus	P	P		3	2	5,25	5,5	6,25	6,5	-2	-2
4261	PESSINA	bologna	P	P		2	1	6,5	6,5	6,5	6,5	0	0
655	PIANA		P	P	*	1							
210	PINSOGLIO	juventus	P	P		1							
535	POPA	torino	P	P		1							
419	PROVEDEL	lazio	P	P		21	14	5,71	5,6	6,5	6,4	-11	-4
753	RADUNOVIC	cagliari	P	P		1							
167	RAIMONDI		P	P	*	1							
32	RAVAGLIA	bologna	P	P		4	4	5,25	4,83	6,25	6,17	-4	-4
420	RENZETTI		P	P	*	1							
1081	RINALDI	parma	P	P		1							
2	ROSSI	atalanta	P	P		1							
605	RUSSO		P	P	*	1							
424	SAMOOJA	lecce	P	P		1							
487	SARO		P	P	*	1							
606	SATALINO	sassuolo	P	P		1							
656	SAVA	udinese	P	P		6	6	4,67		6,25	-1	-9,5	-8,5
1092	SCUFFET	pisa	P	P		4	2	4,5	4,5	6	6	-3	-3
